,processed,nonprocessed
789,chronic hepatitis b virus hbv infection major global health problem,Chronic hepatitis B virus (HBV) infection is a major global health problem.
790,cause progressive liver fibrosis leading cirrhosis endstage liver disease markedly increased risk hepatocellular carcinoma,"It can cause progressive liver fibrosis leading to cirrhosis with end-stage liver disease, and a markedly increased risk of hepatocellular carcinoma."
791,last two decades substantial progress made treatment chronic hepatitis b,"In the last two decades, substantial progress has been made in the treatment of chronic hepatitis, B."
792,however hbv often reactivated stopping nucloes ide analogues antivirals alone directly target covalently closed circular dna template viral rnas,"However, HBV is often reactivated after stopping nucloes(t)ide analogues because antivirals alone do not directly target covalently closed circular DNA, which is the template for all viral RNAs."
793,therefore although currently available antiviral therapies achieve suppression hbv replication majority patients hepatitis b surface antigen hbsag loss seroconversion rarely achieved despite longterm antiviral treatment hbsag loss less years,"Therefore, although currently available antiviral therapies achieve suppression of HBV replication in the majority of patients, hepatitis B surface antigen (HBsAg) loss and seroconversion is rarely achieved despite long-term antiviral treatment (HBsAg loss of less than 10% in 5 years)."
794,various clinical trials agents interrupt hbv life cycle hepatocytes conducted,Various clinical trials of agents that interrupt the HBV life cycle in hepatocytes have been conducted.
795,potential treatment strategies new agents emerging hbv cure,Potential treatment strategies and new agents are emerging as HBV cure.
796,combination current new antihbv agents may increase rate hbsag seroclearance thus optimized regimens must validated,"A combination of current and new anti-HBV agents may increase the rate of HBsAg seroclearance; thus, optimized regimens must be validated."
797,review newly investigated therapeutic compounds results preclinical clinical trials,"Here, we review the newly investigated therapeutic compounds and the results of preclinical and/or clinical trials."
798,hepatitis b virus hbv hepatotropic virus causes hepatitis cirrhosis hepatocellular carcinoma,"Hepatitis B virus (HBV) is a hepatotropic virus that causes hepatitis, cirrhosis and hepatocellular carcinoma."
799,twenty percent hbv patients may develop extrahepatic manifestations polyarthritis nodosa glomerulonephritis dermatitis polyarthralgia arthritis aplastic anemia,"Twenty percent of HBV patients may develop extra-hepatic manifestations, such as polyarthritis nodosa, glomerulonephritis, dermatitis, poly-arthralgia and arthritis, and aplastic anemia."
800,association hbv cryoglobulinemic vasculitis cv highlighted several epidemiological investigations,The association of HBV and cryoglobulinemic vasculitis (CV) has been highlighted by several epidemiological investigations.
801,cv develop hbv infected patients,CV can develop in 0.5-4% of HBV infected patients.
802,demonstrated suppression hbv replication nucleot ide analogues nas effectively induces clinical response patients mild moderate cv low responses seen severe cv,"It has been demonstrated that suppression of HBV replication by nucleot(s)ide analogues (NAs) effectively induces clinical response in most patients with mild to moderate CV, but low responses are seen in severe CV."
803,based evidence nas therapy represents first line therapeutic option subjects mild moderate hbv related cv,"Based on this evidence, NAs therapy represents the first line therapeutic option in subjects with mild or moderate HBV related CV."
804,peginterferonalfa alternative treatment hbv related cv studies published far shown encouraging results,"Peg-interferon-Alfa can be an alternative treatment for HBV related CV, but the few studies published so far have shown no encouraging results."
805,patients severe vasculitis skin ulcers peripheral neuropathy glomerulonephritis treatment rituximab rtx nas considered first line treatment,"In patients with severe vasculitis and/or skin ulcers, peripheral neuropathy and glomerulonephritis treatment with rituximab (RTX) and NAs should be considered as a first line treatment."
806,longterm administration lowmedium glucocorticoid doses widely used studies control clinical symptoms used second option rtx ineffective tolerated association nas,"The long-term administration of low-medium glucocorticoid doses has been widely used in few studies to control clinical symptoms, but it should be used as a second option, when RTX is ineffective or not tolerated and in association with NAs."
807,review focuses novel treatments hbv related cv,This review focuses on novel treatments for HBV related CV.
808,background estimated million people living chronic hepatitis b virus hbv infection worldwide small proportion diagnosed treated,"BACKGROUND: In 2016, of the estimated 257 million people living with chronic hepatitis B virus (HBV) infection worldwide, only a small proportion was diagnosed and treated."
809,insufficiency information proportion people infected hbv eligible treatment limits interpretation global treatment coverage,The insufficiency of information on the proportion of people infected with HBV who are eligible for treatment limits the interpretation of global treatment coverage.
810,aimed estimate proportion people chronic hbv infection eligible antiviral treatment worldwide based guidelines,"We aimed to estimate the proportion of people with chronic HBV infection who were eligible for antiviral treatment worldwide, based on the WHO 2015 guidelines."
811,methods systematic review metaanalysis searched medline embase cochrane databases jan jan studies describing hbsagpositive people population healthcare facilities,"METHODS: In this systematic review and meta-analysis, we searched Medline, EMBASE, and the Cochrane databases from Jan 1, 2007, to Jan 31, 2018, for studies describing HBsAg-positive people in the population or health-care facilities."
812,extracted information published studies using standardised form estimate frequency cirrhosis abnormal alanine aminotransferase alt hbv dna exceeding iu ml iu ml presence hbeag eligibility treatment per guidelines reported studies,"We extracted information from published studies using a standardised form to estimate the frequency of cirrhosis, abnormal alanine aminotransferase (ALT), HBV DNA exceeding 2000 IU/mL or 20 000 IU/mL, presence of HBeAg, and eligibility for treatment as per WHO and other guidelines as reported in the studies."
813,pooled proportions metaanalysis random effects,We pooled proportions through meta-analysis with random effects.
814,study registered prospero crd,"The study was registered with PROSPERO, CRD42020132345."
815,findings studies eligible included analysis,"FINDINGS: Of the 13 497 studies, 162 were eligible and included in our analysis."
816,studies included participants,These studies included 145 789 participants.
817,pooled estimate proportion cirrhosis ci ranging community settings clinic settings,"The pooled estimate of the proportion of cirrhosis was 9% (95% CI 8-10), ranging from 6% (4-8) in community settings to 10% (9-11) in clinic settings."
818,examining proportion participants characteristics used determine eligibility guidelines hbv dna exceeding iu ml alt upper limit normal,"Examining the proportion of participants who had characteristics used to determine eligibility in the WHO guidelines, 1750 (10.1%) of 17 394 had HBV DNA exceeding 20 000 IU/mL, and 20 425 (30.8%) of 66 235 had ALT above the upper limit of normal."
819,studies reported eligibility treatment according guidelines pooled estimate eligibility ci ranging studies community settings clinic settings,"32 studies reported eligibility for treatment according to WHO or any other guidelines, with a pooled estimate of eligibility at 19% (95% CI 18-20), ranging from 12% (6-18) for studies in community settings to 25% (19-30) in clinic settings."
820,interpretation many studies described people hbv infection reported information way allowed assessment eligibility treatment,"INTERPRETATION: Many studies described people with HBV infection, but few reported information in a way that allowed assessment of eligibility for treatment."
821,although one ten million people hbv infection million might urgent need treatment cirrhosis larger proportion eligible treatment accordance different guidelines,"Although about one in ten of the 257 million people with HBV infection (26 million) might be in urgent need of treatment because of cirrhosis, a larger proportion (12-25%) is eligible for treatment in accordance with different guidelines."
822,future studies describing people hbv infection report treatment eligibility according broadly agreed definitions,"Future studies describing people with HBV infection should report on treatment eligibility, according to broadly agreed definitions."
823,funding us centers disease control prevention,FUNDING: WHO and US Centers for Disease Control and Prevention.
824,hepatitis b infection still global concern progressing acutechronic hepatitis severe liver failure death,"Hepatitis B infection is still a global concern progressing as acute-chronic hepatitis, severe liver failure, and death."
825,infection widely transmitted infected mother child infected blood body fluids,"The infection is most widely transmitted from the infected mother to a child, with infected blood and body fluids."
826,pregnant women adolescents adults high risk chronic infection recommended screened hepatitis b infection,"Pregnant women, adolescents, and all adults at high risk of chronic infection are recommended to be screened for hepatitis B infection."
827,initial analysis includes serological tests allow differentiation acute chronic hepatitis,The initial analysis includes serological tests that allow differentiation of acute and chronic hepatitis.
828,molecular assays performed provide detection quantification viral dna genotyping drug resistance precore core mutation analysis confirm infection monitor disease progression chronic hepatitis b patients,"Molecular assays performed provide detection and quantification of viral DNA, genotyping, drug resistance, and precore/core mutation analysis to confirm infection and monitor disease progression in chronic hepatitis B patients."
829,patients chronic hepatitis b treated antiviral medications regularly monitored efficient treatment,All patients with chronic hepatitis B should be treated with antiviral medications and regularly monitored for efficient treatment.
830,current treatment based nucleos ide analogs pegylated interferons save lives decreasing liver cancer death liver transplant slow reverse progression liver disease well virus infectivity,"The current treatment is based on nucleos(t)ide analogs and pegylated interferons that save lives by decreasing liver cancer death, liver transplant, slow or reverse the progression of liver disease as well as the virus infectivity."
831,around million people living hepatitis b virus hbv chronic infection million hepatitis c virus hcv chronic infection,Around 257 million people are living with hepatitis B virus (HBV) chronic infection and 71 million with hepatitis C virus (HCV) chronic infection.
832,hbv hcv infections lead liver complications cirrhosis hepatocellular carcinoma hcc,Both HBV and HCV infections can lead to liver complications such as cirrhosis and hepatocellular carcinoma (HCC).
833,take care chronically infected patients one strategy diagnose early stage fibrosis order treat soon possible decrease risk hcc development,"To take care of these chronically infected patients, one strategy is to diagnose the early stage of fibrosis in order to treat them as soon as possible to decrease the risk of HCC development."
834,micrornas mirnas small noncoding rnas regulate many cellular processes metazoans,microRNAs (or miRNAs) are small non-coding RNAs which regulate many cellular processes in metazoans.
835,expressions frequently modulated downregulation fibrosis progression,Their expressions were frequently modulated by up- or down-regulation during fibrosis progression.
836,serum patients hbv chronic infection chb mir mir expressions increased mir mir expressions decreased fibrosis progression,"In the serum of patients with HBV chronic infection (CHB), miR-122 and miR-185 expressions are increased, while miR-29, -143, -21 and miR-223 expressions are decreased during fibrosis progression."
837,serum patients hcv chronic infection chc mir mir expressions increased mir expression decreased fibrosis progression,"In the serum of patients with HCV chronic infection (CHC), miR-143 and miR-223 expressions are increased, while miR-122 expression is decreased during fibrosis progression."
838,review aims summarize current knowledge principal mirnas modulation involved fibrosis progression chronic hepatitis b c infections,This review aims to summarize current knowledge of principal miRNAs modulation involved in fibrosis progression during chronic hepatitis B/C infections.
839,furthermore also discuss potential use mirnas noninvasive biomarkers diagnose fibrosis intention prioritizing patients advanced fibrosis treatment surveillance,"Furthermore, we also discuss the potential use of miRNAs as non-invasive biomarkers to diagnose fibrosis with the intention of prioritizing patients with advanced fibrosis for treatment and surveillance."
840,current therapies rarely cure chronic hepatitis b virus hbv infection due persistence viral episome covalently closed circular dna cccdna hepatocytes,"Current therapies rarely cure chronic hepatitis B virus (HBV) infection due to the persistence of the viral episome, the covalently closed circular DNA (cccDNA), in hepatocytes."
841,hepatitis b virus corerelated antigen hbcrag mixture viral precore core gene products emerged one potential marker monitor levels activities intrahepatic cccdna,"The hepatitis B virus core-related antigen (HBcrAg), a mixture of the viral precore/core gene products, has emerged as one potential marker to monitor the levels and activities of intrahepatic cccDNA."
842,study comprehensive characterization precore core gene products revealed hbcrag components included classical hepatitis b virus core antigen hbc e antigen hbeag additionally precorerelated antigen prec retaining nterminal signal peptide,"In this study, a comprehensive characterization of precore/core gene products revealed that HBcrAg components included the classical hepatitis B virus core antigen (HBc) and e antigen (HBeAg) and, additionally, the precore-related antigen, PreC, retaining the N-terminal signal peptide."
843,hbeag prec antigens displayed heterogeneous proteolytic processing c termini resulting multiple species varied viral genotypes,"Both HBeAg and PreC antigens displayed heterogeneous proteolytic processing at their C termini resulting in multiple species, which varied with viral genotypes."
844,hbeag predominant form hbcrag hbeagpositive patients,HBeAg was the predominant form of HBcrAg in HBeAg-positive patients.
845,positive correlations found hbcrag prec hbcrag hbeag prec hbeag hbcrag hbc,"Positive correlations were found between HBcrAg and PreC, between HBcrAg and HBeAg, and between PreC and HBeAg but not between HBcrAg and HBc."
846,serum hbeag prec shared similar buoyant density size distributions displayed density size heterogeneity,"Serum HBeAg and PreC shared similar buoyant density and size distributions, and both displayed density and size heterogeneity."
847,hbc hbeag prec antigen found main component capsids dnacontaining empty virions,"HBc, but not HBeAg or PreC antigen, was found as the main component of capsids in DNA-containing or empty virions."
848,neither hbeag prec protein able form capsids cells vitro physiological conditions,Neither HBeAg nor PreC protein was able to form capsids in cells or in vitro under physiological conditions.
849,conclusion study provides important new quantitative information levels component precore core gene products well biochemical biophysical characteristics implying component may distinct functions applications reflecting intrahepatic viral activitiesimportance chronic hepatitis b virus hbv infection afflicts approximately million people high risk progressing chronic liver diseases including fibrosis cirrhosis hepatocellular carcinoma,"In conclusion, our study provides important new quantitative information on levels of each component of precore/core gene products as well as their biochemical and biophysical characteristics, implying that each component may have distinct functions and applications in reflecting intrahepatic viral activities.IMPORTANCE Chronic hepatitis B virus (HBV) infection afflicts approximately 257 million people, who are at high risk of progressing to chronic liver diseases, including fibrosis, cirrhosis, and hepatocellular carcinoma."
850,current therapies rarely achieve cure hbv infection due persistence hbv episome covalently closed circular dna cccdna nuclei infected hepatocytes,"Current therapies rarely achieve cure of HBV infection due to the persistence of the HBV episome, the covalently closed circular DNA (cccDNA), in the nuclei of infected hepatocytes."
851,peripheral markers cccdna levels transcriptional activities urgently required guide antiviral therapy drug development,Peripheral markers of cccDNA levels and transcriptional activities are urgently required to guide antiviral therapy and drug development.
852,serum hepatitis b corerelated antigen hbcrag one emerging peripheral marker,Serum hepatitis B core-related antigen (HBcrAg) is one such emerging peripheral marker.
853,characterized components hbcrag hbvinfected patients well cell cultures,We have characterized the components of HBcrAg in HBV-infected patients as well as in cell cultures.
854,results provide important new quantitative information levels hbcrag component well biochemical biophysical characteristics,"Our results provide important new quantitative information on levels of each HBcrAg component, as well as their biochemical and biophysical characteristics."
855,findings suggest hbcrag component may distinct functions applications reflecting intrahepatic viral activities,Our findings suggest that each HBcrAg component may have distinct functions and applications in reflecting intrahepatic viral activities.
856,global prevalence viral hepatitis high seems rising years,The global prevalence of viral hepatitis is very high and seems to be rising over the years.
857,infection profoundly affect pregnant women causing significant maternal perinatal morbidity mortality strains much worse others,The infection can profoundly affect pregnant women causing significant maternal and perinatal morbidity and mortality with some strains much worse than others.
858,hepatitis hav e hev transmitted mainly faecaloral route present acute hepatitis pregnancy responsible local epidemic outbreaks,Hepatitis A (HAV) and E (HEV) which are transmitted mainly through the faecal-oral route present as acute hepatitis during pregnancy and are responsible for most local epidemic outbreaks.
859,hav infection remains selflimiting pregnancy hev higher prevalence causes significant morbidity,"HAV infection remains self-limiting during pregnancy, while HEV has a higher prevalence and causes significant morbidity."
860,also associated high maternal mortality rate requires special attention endemic areas,It is also associated with a very high maternal mortality rate (20 %) and requires special attention in endemic areas.
861,hev vaccines exist yet approve general use,"HEV vaccines do exist, but the WHO has yet to approve them for general use."
862,hepatitis b prevalent form part antenatal screening program,Hepatitis B is the most prevalent form and is part of the ante-natal screening program.
863,presence hbeag associated high viral loads infectivity,The presence of HBeAg is associated with high viral loads and infectivity.
864,antiviral therapy preferably tenofovir tdf recommended mothers viral load iu ml neonates receiving active passive immunisations,"Antiviral therapy, preferably tenofovir (TDF), is recommended for mothers with viral load >/= 200,000 IU/mL2), with the neonates receiving both active and passive immunisations."
865,hepatitis c usually found chronic infections pregnant nonpregnant populations,Hepatitis C and D are usually found as chronic infections in the pregnant and non-pregnant populations.
866,screening hepatitis c pregnancy subsequent management still unsettled introduction directacting antiviral daa drugs change picture safety established pregnancy,"Screening for hepatitis C during pregnancy and its subsequent management is still unsettled, but the introduction of direct-acting antiviral (DAA) drugs will change the picture if their safety is established in pregnancy."
867,hdv incomplete virus linked hbv establish infection,HDV is an incomplete virus linked to HBV and cannot establish an infection on its own.
868,controlling hbv paramount controlling hdv,Controlling HBV is paramount to controlling HDV.
869,hev quite prevalent looked upon hepatotropic,HEV is quite prevalent and looked upon as hepatotropic.
870,seems quite prevalent blood donor populations high coinfection rate hcv,It seems to be quite prevalent in some blood donor populations and has a high co-infection rate with HCV.
871,high mothertochildtransmission mtct causes little illness infected infants antenatal screening justified,"It has a high Mother-to-Child-Transmission (MTCT) but causes little or no illness in infected infants, and antenatal screening is not justified."
872,review summarises prevalence clinical picture maternal perinatal effects management prevention hepatitis b c e g viral infections pregnancy,"This review summarises the prevalence, clinical picture, maternal, perinatal effects, and the management and prevention of hepatitis A, B, C, D, E and G viral infections during pregnancy."
873,hepatitis b virus hbv infection one main causes morbidity mortality worldwide,Hepatitis B virus (HBV) infection is one of the main causes of morbidity and mortality worldwide.
874,children acquire infection perinatally early childhood develop chronic hepatitis characterized high viral replication lowinflammation phase infection normal slightly raised aminotransferases,"Most children acquire the infection perinatally or during early childhood and develop a chronic hepatitis characterized by a high viral replication and a low-inflammation phase of infection, with normal or only slightly raised aminotransferases."
875,although conservative approach children usually recommended different therapies exist different therapeutic approaches possible,"Although a conservative approach in children is usually recommended, different therapies exist and different therapeutic approaches are possible."
876,main goals antiviral treatment children chronic hbv infection suppress viral replication warn disease progression cirrhosis hepatocellular carcinoma although complications rare children,"The main goals of antiviral treatment for children with chronic HBV infection are to suppress viral replication and to warn the disease progression to cirrhosis and hepatocellular carcinoma, although these complications are rare in children."
877,united states food drug administration usfda european medicines agency ema approved interferon alfab children aged year older pegylated interferon alfaa lamivudine children aged years older entecavir use children aged years older adefovir use years age older,"Both United States Food and Drug Administration (US-FDA) and European Medicines Agency (EMA) have approved interferon alfa-2b for children aged 1 year and older, pegylated interferon alfa-2a and lamivudine for children aged 3 years and older, entecavir for use in children aged 2 years and older, and adefovir for use in those 12 years of age and older."
878,tenofovir disoproxil fumarate approved ema children aged years older usfda treatment children aged years older,Tenofovir disoproxil fumarate is approved by EMA for children aged 2 years and older and by US-FDA for treatment in children aged 12 years and older.
879,finally ema approved use tenofovir alafenamide treatment children aged years older children weighing kg independent age,"Finally, EMA has approved the use of tenofovir alafenamide for treatment of children aged 12 years and older or for children weighing more than 35 kg independent of age."
880,narrative review provide framework summarizing indications antiviral therapy management chronic hbv infection children adolescents,This narrative review will provide the framework for summarizing indications to antiviral therapy in the management of chronic HBV infection in children and adolescents.
881,background priority antiviral treatment patients chronic hepatitis b chb increase probability functional cure,BACKGROUND: Priority of antiviral treatment for patients with chronic hepatitis B (CHB) is to increase the probability of functional cure.
882,aimed synthesize evidence regarding efficacy different combination strategies antiviral treatment based interferon ifn nucleos ide analogues nas adults chb,We aimed to synthesize evidence regarding the efficacy of different combination strategies of antiviral treatment based on interferon (IFN) and nucleos(t)ide analogues (NAs) in adults with CHB.
883,methods pubmed web science embase databases searched inception may,"METHODS: PubMed, Web of Science and Embase databases were searched from inception to May 26, 2019."
884,three types combination strategies studied initial combination ifn nas monotherapy control addon ifn addon nas vs nas ii nas addon ifn vs ifn switchto ifn switchto nas vs ifn ii nas switchto ifn vs nas,"Three types of combination strategies were studied: initial combination (IFN or NAs monotherapy as control), add-on (I: IFN add-on NAs vs. NAs; II: NAs add-on IFN vs. IFN), switch-to (I: IFN switch-to NAs vs. IFN; II: NAs switch-to IFN vs. NAs)."
885,results compared nas monotherapy initial combination strategy improved probability hbeag loss rr ci hbsag loss rr ci compared ifn monotherapy higher rates loss hbsag hbeag initial combination,"RESULTS: Compared to NAs monotherapy, initial combination strategy improved the probability of HBeAg loss (RR: 1.62, 95% CI 1.33-1.97) and HBsAg loss (RR: 15.59, 95% CI 3.22-75.49), while compared to IFN monotherapy, no higher rates in the loss of HBsAg or HBeAg for initial combination."
886,compared nas monotherapy ifn addon nas strategy higher rate hbsag loss rr ci compared ifn monotherapy nas addon ifn similar outcome,"Compared to NAs monotherapy, IFN add-on NAs strategy had a higher rate of HBsAg loss (RR: 4.52, 95% CI 1.95-10.47), while compared to IFN monotherapy, NAs add-on IFN had a similar outcome."
887,compared nas monotherapy nas switchto ifn strategy improved hbsag loss rr ci compared ifn monotherapy ifn switchto nas improved rate hbsag clearance higher rates undetectable hbv dna hbeag loss,"Compared to NAs monotherapy, NAs switch-to IFN strategy improved HBsAg loss (RR: 12.15, 95% CI 3.99-37.01); while compared to IFN monotherapy, IFN switch-to NAs had no improved rate of HBsAg clearance but higher rates in undetectable HBV DNA, and HBeAg loss."
888,conclusion ifn addon nas nas switched ifn could significantly improve probability hbsag loss compared nas monotherapy,"CONCLUSION: IFN add-on NAs, or NAs switched to IFN could significantly improve the probability of HBsAg loss compared to NAs monotherapy."
889,relationship hepatitis b virus hbv nonhepatocellular cancers remains inconclusive,The relationship between hepatitis B virus (HBV) and nonhepatocellular cancers remains inconclusive.
890,large casecontrol study aimed assess associations hbv infection status multiple cancers,This large case-control study aimed to assess the associations between HBV infection status and multiple cancers.
891,cases n controls n consecutively recruited first affiliated hospital nanjing medical university,Cases (n = 50 392) and controls (n = 11 361) were consecutively recruited from 2008 to 2016 at the First Affiliated Hospital of Nanjing Medical University.
892,multivariable adjusted odds ratios aors confidence intervals cis estimated using logistic regression adjusting age gender,Multivariable adjusted odds ratios (aORs) and 95% confidence intervals (95% CIs) were estimated using logistic regression by adjusting age and gender.
893,metaanalysis based published studies also performed verify associations,A meta-analysis based on published studies was also performed to verify the associations.
894,cases controls hepatitis b surface antigen hbsag seropositive,"Of these, 12.1% of cases and 5.5% of controls were hepatitis B surface antigen (HBsAg) seropositive."
895,observed significant associations hbsag seropositivity esophagus cancer aor ci stomach cancer hepatocellular carcinoma hcc intrahepatic extrahepatic bile duct carcinoma icc ecc pancreatic cancer pac nonhodgkin lymphoma nhl leukemia,"We observed significant associations between HBsAg seropositivity and esophagus cancer (aOR [95% CI] = 1.32 [1.13-1.54]), stomach cancer (1.46 [1.30-1.65]), hepatocellular carcinoma (HCC; 39.11 [35.08-43.59]), intrahepatic and extrahepatic bile duct carcinoma (ICC and ECC; 3.83 [2.58-5.67] and 1.72 [1.28-2.31]), pancreatic cancer (PaC; 1.37 [1.13-1.65]), non-Hodgkin lymphoma (NHL; 1.88 [1.61-2.20]) and leukemia (11.48 [4.05-32.56])."
896,additionally compared participants hbsag antihbs antihbc participants hbsag antihbs antihbc indicating past hbvinfected increased risk esophagus cancer aor ci stomach cancer hcc leukemia,"Additionally, compared to participants with HBsAg-/anti-HBs-/anti-HBc-, participants with HBsAg-/anti-HBs-/anti-HBc+, indicating past HBV-infected, had an increased risk of esophagus cancer (aOR [95% CI] = 1.46 [1.24-1.73]), stomach cancer (1.20 [1.04-1.39]), HCC (4.80 [3.95-5.84]) and leukemia (15.62 [2.05-119.17])."
897,overall metaanalysis also verified hbsag seropositivity significantly associated stomach cancer ci icc ecc pac nhl leukemia,"Then the overall meta-analysis also verified that HBsAg seropositivity was significantly associated with stomach cancer (OR [95% CI] = 1.23 [1.14-1.33]), ICC (4.05 [2.78-5.90]), ECC (1.73 [1.30-2.30]), PaC (1.26 [1.09-1.46]), NHL (1.95 [1.55-2.44]) and leukemia (1.54 [1.26-1.88])."
898,conclusion casecontrol study metaanalysis confirmed significant association hbsag seropositivity stomach cancer icc ecc pac nhl leukemia,"In conclusion, both our case-control study and meta-analysis confirmed the significant association of HBsAg seropositivity with stomach cancer, ICC, ECC, PaC, NHL and leukemia."
899,note findings also suggested risk stomach cancer elevated people whoever exposed hbv,"Of note, our findings also suggested that the risk of stomach cancer elevated for people whoever exposed to HBV."
900,chronic hepatitis b virus hbv infection impacts estimated million people globally,Chronic hepatitis B virus (HBV) infection impacts an estimated 257-291 million people globally.
901,current approach treatment chronic hbv infection complex reflecting riskbenefit approach driven lack effective curative regimen,"The current approach to treatment for chronic HBV infection is complex, reflecting a risk:benefit approach driven by the lack of an effective curative regimen."
902,complexity lack durable treatment response necessitating indefinite treatment majority cases resulted low uptake testing treatment particularly regions comprehensive primary care lacking access affordable testing treatment limited,"This complexity and the lack of a durable treatment response, necessitating indefinite treatment in the majority of cases, have resulted in low uptake of testing and treatment, particularly in regions where comprehensive primary care is lacking and access to affordable testing and treatment is limited."
903,multiple targeted therapies early human study primary goal achieve persistent hbv dna hepatitis b surface antigen suppression finite course treatment referred functional cure,"Multiple targeted therapies are now in early human study with the primary goal to achieve persistent HBV DNA and hepatitis B surface antigen suppression after a finite course of treatment, which is referred to as functional cure."
904,article summarizes current therapies hbv infection discusses limitations therapies novel approaches hbv cure therapeutic endpoints clinical trials aimed cure hepatitis b,"This article summarizes the current therapies for HBV infection and discusses the limitations of these therapies, novel approaches to HBV cure, and therapeutic endpoints of clinical trials aimed to cure hepatitis B."
905,background aims eliminate hepatitis b virus hbv infection scaleup testing treatment resourcelimited countries crucial,"BACKGROUND & AIMS: To eliminate hepatitis B virus (HBV) infection, scale-up of testing and treatment in resource-limited countries is crucial."
906,however access nucleic acid testing quantify hbv dna essential test examine treatment eligibility remains severely limited,"However, access to nucleic acid testing to quantify HBV DNA, an essential test to examine treatment eligibility, remains severely limited."
907,assessed performance novel immunoassay hbv corerelated antigen hbcrag lowcost less us assay alternative nucleic acid testing indicate clinically important high viremia chronic hbv patients infected different genotypes,"We assessed the performance of a novel immunoassay, HBV core-related antigen (HBcrAg), as a low-cost (less than US $15/assay) alternative to nucleic acid testing to indicate clinically important high viremia in chronic HBV patients infected with different genotypes."
908,methods searched medline embase scopus web science databases june,"METHODS: We searched Medline, Embase, Scopus, and Web of Science databases through June 27, 2018."
909,three reviewers independently selected studies measuring hbv dna hbcrag blood samples,Three reviewers independently selected studies measuring HBV DNA and HBcrAg in the same blood samples.
910,contacted authors provide individual participant data ipd,We contacted authors to provide individual participant data (IPD).
911,randomly allocated ipd derivation validation cohort,We randomly allocated each IPD to a derivation or validation cohort.
912,applied optimal hbcrag cutoff values derived derivation set validation set estimate sensitivity specificity,We applied optimal HBcrAg cut-off values derived from the derivation set to the validation set to estimate sensitivity/specificity.
913,results eligible studies ipd obtained successfully studies,"RESULTS: Of 74 eligible studies, IPD were obtained successfully for 60 studies (81%)."
914,metaanalysis included ipd without antiviral therapy treated antivirals,Meta-analysis included 5591 IPD without antiviral therapy and 4806 treated with antivirals.
915,untreated patients pooled area receiver operating characteristic curve optimal cutoff values follows ci log u ml diagnose hbv dna level iu ml greater ci log u ml iu ml greater respectively,"In untreated patients, the pooled area under the receiver operating characteristic curve and optimal cut-off values were as follows: 0.88 (95% CI, 0.83-0.94) and 3.6 log U/mL to diagnose HBV DNA level of 2000 IU/mL or greater; and 0.96 (95% CI, 0.94-0.98) and 5.3 log U/mL for 200,000 IU/mL or greater, respectively."
916,validation set sensitivity specificity diagnose hbv dna level iu ml greater iu ml greater respectively,"In the validation set, the sensitivity and specificity were 85.2% and 84.7% to diagnose HBV DNA level of 2000 IU/mL or greater, and 91.8% and 90.5% for 200,000 IU/mL or greater, respectively."
917,performance vary hbv genotypes,The performance did not vary by HBV genotypes.
918,patients treated antihbv therapy correlation hbcrag hbv dna poor,In patients treated with anti-HBV therapy the correlation between HBcrAg and HBV DNA was poor.
919,conclusions hbcrag might useful serologic marker indicate clinically important high viremia treatmentnaive hbvinfected patients,"CONCLUSIONS: HBcrAg might be a useful serologic marker to indicate clinically important high viremia in treatment-naive, HBV-infected patients."
920,recently controversial approach suggesting early treatment chronic infection hepatitis b e antigenpositive patients hepatitis b virus hbv infection proposed,"Recently, a controversial approach suggesting the early treatment of chronic infection with hepatitis B ""e"" antigen-positive patients with hepatitis B virus (HBV) infection, has been proposed."
921,objective study systematically review medical literature regarding treatment hbv infection adult chronic infection hbeagpositive patients,The objective of this study is to systematically review medical literature regarding treatment of HBV infection in adult chronic infection with HBeAg-positive patients.
922,systematic review performed according recommendations preferred reporting items systematic reviews metaanalysis statement,A systematic review was performed according to the recommendations of the Preferred Reporting Items for Systematic Reviews and Meta-Analysis statement.
923,original studies evaluated effect antivirals adult chronic infection hbeagpositive patients included,Original studies that evaluated the effect of antivirals in adult chronic infection with HBeAg-positive patients were included.
924,outcomes interest viral load suppression loss seroconversion hbeag loss seroconversion hepatitis b surface antigen development cirrhosis hepatocellular carcinoma,"The outcomes of interest were viral load suppression, the loss/seroconversion of HBeAg, the loss/seroconversion of hepatitis B surface antigen, and the development of cirrhosis or hepatocellular carcinoma."
925,search eligible studies performed excerpta medica database pubmed cochrane databases january without language date restriction,"The search for eligible studies was performed in Excerpta Medica dataBASE, PubMed and Cochrane databases until January 2020, without language or date restriction."
926,risk bias evaluated using newcastleottawa scale observational studies revised cochrane riskofbias tool randomized controlled trials,The risk of bias was evaluated using the Newcastle-Ottawa Scale for observational studies and the Revised Cochrane Risk-of-Bias Tool for randomized controlled trials.
927,two hundred ninetysix articles retrieved,Two hundred ninety-six articles were retrieved.
928,analyzing titles abstracts articles excluded nine considered potentially eligible,"After analyzing titles and abstracts, 287 articles were excluded and nine were considered potentially eligible."
929,five excluded fulltext analysis,"From these, five were excluded after full-text analysis."
930,finally four articles included,"Finally, four articles were included."
931,two randomized controlled trials,Only two were randomized controlled trials.
932,studies carried asian patients,All studies were carried out in Asian patients.
933,results variable regard viral load negativation seroconversion hbeag hbsag,"Results were variable with regard to viral load, negativation/seroconversion of HBeAg and HBsAg."
